PC1,PC2,price
-1.729328203890105,-0.7259159656091473,900
5.348055671805498,-0.6410324815607678,4125
2.7266226418358532,-2.1033016426880744,1259
3.875224741713433,1.9350374646951611,920
5.843353250778301,0.4423682084165,2000
1.8557765768629253,-1.7310146825734707,3780
1.3296554289485316,2.039715771404235,1020
-1.2204071265036887,2.7227721032964842,4224
2.591788493818705,-2.060464303873648,2749
3.4169580893411404,1.1922430164308004,700
-1.939945183058416,-1.0487678157177684,900
0.8637106429798624,-2.412090242284234,2089
4.434596489157263,0.8150785402537851,1020
1.801161349946198,-1.4574495750334702,3150
0.29703733572785845,-1.8911526185984366,2888
3.143355713311286,-1.8310190950537717,1101
2.467486557506134,-2.139422408581446,1181
-2.3365348273178372,-0.5695759081422794,1444
6.5589079195616184,4.446402201105806,7384
-0.9209603826541866,-0.1572024503016404,1087
2.7680309302802164,1.4623351765626853,1150
-0.5386705050951475,0.8069353546095994,999
3.0769943742378287,0.48404435101717863,3500
-0.07376981386912526,-2.3983599221396905,2000
-0.183968476715454,-1.3326295632495924,1119
3.4646800716572344,-2.7503652189329983,1764
5.0370199205184045,0.29208814122024723,1036
2.4205976448983013,-1.226612851525708,1119
-1.2715253880432626,-1.0420181424728374,1511
5.656574455431077,2.9926899397414606,10299
1.4473220863750447,-2.619917233943331,2699
3.4948968743274067,-2.7267095376400845,2400
1.860796400645802,-2.287612834160997,2474
0.22573003871648187,-1.4035150345847376,1296
-1.7711344918363499,-0.7089110285426865,1620
0.5620108938409292,-1.825089315574108,1754
4.757671212315806,1.6154447334542614,1688
6.295234837499388,4.388485200182558,7350
3.1530992264034094,0.8358173347260783,840
5.5923964986111425,2.5054288670157843,8645
4.067880033537691,2.741154406092925,1040
1.5444826409770414,-0.16792210563168977,728
-2.157530942770019,-0.7502361994697991,1960
2.2879229108904813,-2.825093178998886,1979
5.694396621571581,4.885947483160508,9000
-3.35436447076853,5.553747321618973,805
-1.1108569906132826,-0.8396352530664655,611
4.9950434442232226,2.2193951573477047,828
1.8436285739747535,-2.8535829514672053,2883
3.4717990351250365,-2.6013813284682907,2050
5.612341255897875,4.804404141713212,7499
-1.9404607772900742,-1.051342222515878,3335
-1.226981427305959,0.12839583467949056,795
-1.0470917999671396,-0.05183723728480861,5751
-0.2097788260882526,-2.3569247780274147,828
-2.307965388016699,0.33020576515679073,2195
-0.6092975791032116,-1.582399270753289,799
-0.1036677381747348,-0.4747829730289408,2946
1.5219533048961378,3.116202694514714,2880
5.781630027051238,3.0711710274937345,4999
1.1577010689026264,1.6093203506484217,2250
-2.0025150268441685,-0.8523048545107289,1976
0.004650747617138665,-1.4029457335422082,1500
0.1770467691776046,-1.480963101256894,5891
-1.6570264230628626,-0.7915105634646105,1544
-0.8027861626735038,0.5001186945818976,2379
4.384608227374807,0.7678630585365881,6175
-0.6422254882386333,-2.0781605264096323,858
-1.701191295290891,-0.7677160818317363,1499
1.8340975394845,-1.882751296224023,672
2.4436776712777806,1.075934160298332,640
1.0158785761268156,-1.5323143602544216,2000
4.144834335910571,-2.3087693639369204,2094
-2.170789087458763,-0.8290979602452688,3604
2.7155888376730646,-2.2570602872319134,2789
-2.210174770309155,-0.7370281300361766,1529
