price,location,ratings,type,air,air conditioning,airport,airport family,airport room,airport shuttle,airport spa,airport wifi,bar,bar air,bar breakfast,bar closed,bar housekeeping,bar superb,bar tea/coffee,breakfast,centre,centre closed,centre facilities,centre front,centre room,centre rooms,centre spa,centre tea/coffee,centre wifi,closed,closed breakfast,closed non-smoking,closed parking,closed room,conditioning,conditioning breakfast,conditioning superb,conditioning tea/coffee,desk,desk air,desk bar,desk breakfast,desk garden,desk housekeeping,desk laundry,desk tea/coffee,desk terrace,facilities,facilities guests,family,family rooms,fitness,fitness centre,fitness housekeeping,front,front desk,garden,garden air,garden bar,garden breakfast,garden housekeeping,garden laundry,garden tea/coffee,guests,guests airport,guests bar,guests desk,guests family,guests front,guests laundry,guests room,guests spa,guests tea/coffee,guests terrace,housekeeping,housekeeping air,housekeeping breakfast,housekeeping superb,housekeeping tea/coffee,laundry,laundry air,laundry breakfast,laundry housekeeping,laundry superb,laundry tea/coffee,maker,maker rooms,non-smoking,non-smoking rooms,parking,parking air,parking airport,parking bar,parking breakfast,parking desk,parking facilities,parking family,parking front,parking garden,parking housekeeping,parking restaurant,parking room,parking rooms,parking site,parking spa,parking tea/coffee,parking terrace,parking wifi,pool,pool airport,pool parking,pool room,pool spa,pool wifi,pools,pools airport,pools rooms,pools spa,pools wifi,restaurant,restaurant air,restaurant closed,restaurant facilities,restaurant family,restaurant front,restaurant parking,restaurant room,restaurant wifi,room,room service,rooms,rooms air,rooms airport,rooms bar,rooms breakfast,rooms desk,rooms facilities,rooms family,rooms garden,rooms housekeeping,rooms parking,rooms restaurant,rooms room,rooms rooms,rooms spa,rooms superb,rooms tea/coffee,rooms terrace,rooms wifi,service,service airport,service desk,service facilities,service family,service fitness,service front,service housekeeping,service parking,service restaurant,service rooms,service tea/coffee,service wifi,shuttle,shuttle family,shuttle fitness,shuttle front,shuttle non-smoking,shuttle parking,shuttle room,shuttle rooms,shuttle spa,shuttle wifi,site,site front,spa,spa centre,spa wellness,superb,superb breakfast,swimming,swimming pool,swimming pools,tea/coffee,tea/coffee maker,terrace,terrace air,terrace bar,terrace breakfast,terrace garden,terrace housekeeping,terrace laundry,terrace tea/coffee,wellness,wellness centre,wifi,wifi air,wifi airport,wifi bar,wifi desk,wifi facilities,wifi family,wifi front,wifi housekeeping,wifi laundry,wifi non-smoking,wifi parking,wifi restaurant,wifi room,wifi rooms,wifi spa,wifi tea/coffee,wifi terrace
900,22,8.5,15,0.19477786378223114,0.19477786378223114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19477786378223114,0.0,0.0,0.0,0.14818458042021979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26538094991543953,0.0,0.0,0.17267242516580733,0.17267242516580733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17588184081784455,0.0,0.0,0.0,0.0,0.0,0.0,0.24134674087832192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13191551504020313,0.13191551504020313,0.29218533815187775,0.0,0.0,0.0,0.0,0.18640881369929327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24949418393986572,0.13191551504020313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19035928988533682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24844227487201015,0.4981485014620228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15315187144286274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20209949425117368,0.0,0.0,0.0,0.0,0.0,0.0
4125,21,8.3,90,0.0,0.0,0.13120616549897426,0.0,0.0,0.13279877469374693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10815759636200642,0.21159895304524176,0.0,0.0,0.0,0.0,0.2363620444993907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19380907841719405,0.19380907841719405,0.0,0.0,0.2315887320029742,0.23251810016234462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19380907841719405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699344823878541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1804859160919209,0.1804859160919209,0.0,0.0,0.11321391980407293,0.0,0.0,0.0,0.0,0.0,0.220497508274479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15825548776467907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17362801059483407,0.08491310115489363,0.08491310115489363,0.18807767355421298,0.0,0.0,0.0,0.20369129402057967,0.0,0.0,0.0,0.0,0.0,0.0,0.16812615530472463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08491310115489363,0.0,0.0,0.0,0.0,0.23538139927195056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13279877469374693,0.0,0.0,0.0,0.0,0.0,0.14900927584367504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1804859160919209,0.1804859160919209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09858279632934558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13009004129251003,0.0,0.0,0.0,0.0,0.0,0.0
1259,28,8.4,90,0.0,0.0,0.16144832331265327,0.0,0.0,0.1634080184474857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330872106487189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11737108932908975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21019765410432403,0.0,0.0,0.13676693338358395,0.13676693338358395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220867321575422,0.2220867321575422,0.0,0.0,0.13930898337367886,0.0,0.0,0.0,0.0,0.0,0.0,0.19116111678141218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10448501224466064,0.10448501224466064,0.3471425096419301,0.0,0.0,0.0,0.2506407970078537,0.14764697826444032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19761438111342527,0.10448501224466064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15077599271391734,0.0,0.0,0.1634080184474857,0.0,0.0,0.0,0.0,0.0,0.18335493344771253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220867321575422,0.2220867321575422,0.19678120594216764,0.0,0.0,0.0,0.0,0.0,0.0,0.3766475629112932,0.0,0.0,0.1213054822105144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16007493982067306,0.0,0.0,0.0,0.0,0.0,0.0
920,28,7.8,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1887093095183631,0.0,0.2000920901484199,0.0,0.0,0.0,0.0,0.08339742887092633,0.16315829150537595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3184749194867025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08570328090246106,0.08570328090246106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13916786111906826,0.13916786111906826,0.0,0.0,0.0872962245985676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378700795696395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06547422050757236,0.06547422050757236,0.2175324932788078,0.0,0.0,0.2217950722485787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3407024984607886,0.0,0.0,0.23809038738402624,0.0,0.0,0.06547422050757236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804766222510961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19224730834186088,0.0,0.19316867381137623,0.0,0.0,0.0,0.0,0.0,0.13916786111906826,0.13916786111906826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19316867381137623,0.19316867381137623,0.07601455673308288,0.0,0.0,0.0,0.0,0.0,0.17512294216969826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,21,8.0,93,0.0,0.0,0.12140305685729567,0.0,0.0,0.12287667377071694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10007656858768388,0.19578927278151842,0.0,0.0,0.0,0.24010967789646376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17932857405795177,0.17932857405795177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17932857405795177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34229471479492324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1670008558661816,0.1670008558661816,0.0,0.0,0.10475510728281004,0.0,0.0,0.0,0.0,0.0,0.20402296974487735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14643138076636036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16065534086832653,0.0785687929239685,0.0785687929239685,0.17402539285601268,0.0,0.0,0.0,0.18847243691082402,0.0,0.0,0.0,0.0,0.0,0.0,0.15556455837296437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785687929239685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11337786630781507,0.0,0.0,0.12287667377071694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557446029403024,0.0,0.0,0.0,0.23069597228049593,0.0,0.2318016070207106,0.0,0.0,0.0,0.0,0.0,0.1670008558661816,0.1670008558661816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318016070207106,0.2318016070207106,0.09121715265748166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1203703242110677,0.0,0.0,0.0,0.0,0.0,0.0
3780,21,8.3,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12805664623770427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11293457869833201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022523914989863,0.0,0.0,0.1315972791070429,0.1315972791070429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564180568733474,0.0,0.0,0.0,0.40135244335567855,0.0,0.0,0.0,0.0,0.0,0.0,0.21369207420728165,0.21369207420728165,0.0,0.0,0.13404324213168972,0.0,0.0,0.0,0.0,0.0,0.0,0.18393541638418442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10053558253221609,0.10053558253221609,0.3340208674793005,0.0,0.0,0.0,0.24116682375955953,0.14206606909495287,0.0,0.0,0.0,0.0,0.3293259174020462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10053558253221609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14507680990525476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21369207420728165,0.21369207420728165,0.189343071755239,0.0,0.0,0.0,0.0,0.29951316096218666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020,28,7.3,30,0.11743180953472082,0.11743180953472082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10130347822720595,0.1981895923516303,0.0,0.0,0.0,0.24305335274973972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11743180953472082,0.0,0.3868538575939191,0.0,0.08934066267070978,0.0,0.0,0.0,0.0,0.15435785892980344,0.0,0.0,0.0,0.0,0.0,0.10410441387035706,0.10410441387035706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12373971741691213,0.15301931722235582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10603937444672502,0.0,0.0,0.0,0.0,0.0,0.0,0.14550824183150446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07953202348597135,0.07953202348597135,0.176158893584803,0.0,0.0,0.0,0.0,0.11238609912265421,0.0,0.0,0.0,0.0,0.2605242436325022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07953202348597135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11476784599081774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23352423783940013,0.0,0.2346434273401317,0.32583786737912557,0.32583786737912557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2346434273401317,0.2346434273401317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4224,27,9.1,19,0.20594541749289313,0.20594541749289313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20594541749289313,0.0,0.0,0.0,0.1566807166278995,0.42402904668152974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3984113672336376,0.3984113672336376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1859659944579081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4944482716913343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619328063859566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21368683232502675,0.0,0.0,0.0,0.0,0.0,0.0
2749,13,6.662635796972395,38,0.0,0.0,0.15066213048744376,0.0,0.0,0.15249090044963137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12419579395777917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10952965018848747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19615456971635356,0.0,0.0,0.12762967828350386,0.12762967828350386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072493509582779,0.2072493509582779,0.0,0.0,0.13000189658503186,0.0,0.0,0.0,0.0,0.0,0.0,0.17838984344775405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18172247361456909,0.0,0.0,0.0,0.0,0.0,0.3577670883803795,0.0,0.0,0.0975044783729474,0.0975044783729474,0.32395028336173587,0.0,0.0,0.0,0.23389574874150834,0.137782838798986,0.0,0.0,0.0,0.0,0.0,0.19305681750962136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975044783729474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14070280708116673,0.0,0.0,0.15249090044963137,0.0,0.0,0.0,0.0,0.0,0.1711051830195798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072493509582779,0.2072493509582779,0.18363446035745748,0.0,0.0,0.0,0.0,0.0,0.0,0.3514841350270716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,28,7.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09007439489554964,0.17622107274175006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3439726625933688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07943760935417149,0.0,0.0,0.0,0.0,0.0,0.0,0.22600296274838852,0.0,0.0,0.0,0.092564858082138,0.092564858082138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15030992020879944,0.15030992020879944,0.0,0.0,0.09428533605696318,0.0,0.0,0.0,0.0,0.0,0.0,0.12937923815303098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07071621839331484,0.07071621839331484,0.23494858255803674,0.0,0.0,0.0,0.16963551957077574,0.09992855181576271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3679798262816228,0.0,0.0,0.0,0.0,0.07071621839331484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30293214519497597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20763901481893407,0.0,0.20863414666253915,0.0,0.0,0.0,0.0,0.0,0.15030992020879944,0.15030992020879944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20863414666253915,0.20863414666253915,0.08210043515349703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3679798262816228,0.0,0.0,0.0,0.0
