,price,location,ratings,type,air,air conditioning,bar,breakfast,centre,closed,conditioning,desk,facilities,facilities guests,family,fitness,front,garden,guests,housekeeping,laundry,maker,non-smoking,parking,pool,restaurant,room,room service,service,shuttle,site,spa,superb,swimming,tea/coffee,tea/coffee maker,terrace,wellness,wifi
0,900,22,8.5,15,0.1947778637822311,0.1947778637822311,0.0,0.0,0.0,0.0,0.1947778637822311,0.1481845804202197,0.0,0.0,0.1726724251658073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1758818408178445,0.0,0.0,0.1319155150402031,0.1319155150402031,0.1319155150402031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2484422748720101,0.0,0.1531518714428627
1,4125,21,8.3,90,0.0,0.0,0.0,0.1081575963620064,0.2115989530452417,0.0,0.0,0.0,0.193809078417194,0.193809078417194,0.0,0.2315887320029742,0.0,0.0,0.193809078417194,0.0,0.0,0.1804859160919209,0.0,0.1132139198040729,0.0,0.158255487764679,0.0849131011548936,0.0849131011548936,0.0849131011548936,0.1327987746937469,0.0,0.0,0.0,0.0,0.1804859160919209,0.1804859160919209,0.0,0.0,0.0985827963293455
2,1259,28,8.4,90,0.0,0.0,0.0,0.1330872106487189,0.0,0.0,0.0,0.1173710893290897,0.0,0.0,0.1367669333835839,0.0,0.0,0.0,0.0,0.0,0.0,0.2220867321575422,0.0,0.1393089833736788,0.0,0.0,0.1044850122446606,0.1044850122446606,0.1044850122446606,0.1634080184474857,0.0,0.0,0.0,0.0,0.2220867321575422,0.2220867321575422,0.1967812059421676,0.0,0.1213054822105144
3,920,28,7.8,14,0.0,0.0,0.1887093095183631,0.0833974288709263,0.1631582915053759,0.0,0.0,0.0,0.0,0.0,0.085703280902461,0.0,0.0,0.0,0.0,0.0,0.0,0.1391678611190682,0.0,0.0872962245985676,0.0,0.0,0.0654742205075723,0.0654742205075723,0.0654742205075723,0.0,0.0,0.1922473083418608,0.0,0.0,0.1391678611190682,0.1391678611190682,0.0,0.1931686738113762,0.0760145567330828
4,2000,21,8.0,93,0.0,0.0,0.0,0.1000765685876838,0.1957892727815184,0.0,0.0,0.0,0.1793285740579517,0.1793285740579517,0.0,0.0,0.0,0.0,0.1793285740579517,0.0,0.0,0.1670008558661816,0.0,0.10475510728281,0.0,0.1464313807663603,0.0785687929239685,0.0785687929239685,0.0785687929239685,0.1228766737707169,0.0,0.2306959722804959,0.0,0.0,0.1670008558661816,0.1670008558661816,0.0,0.2318016070207106,0.0912171526574816
5,3780,21,8.3,33,0.0,0.0,0.0,0.1280566462377042,0.0,0.0,0.0,0.112934578698332,0.0,0.0,0.1315972791070429,0.0,0.0,0.0,0.0,0.1564180568733474,0.0,0.2136920742072816,0.0,0.1340432421316897,0.0,0.0,0.100535582532216,0.100535582532216,0.100535582532216,0.0,0.0,0.0,0.0,0.0,0.2136920742072816,0.2136920742072816,0.189343071755239,0.0,0.0
6,1020,28,7.3,30,0.1174318095347208,0.1174318095347208,0.0,0.1013034782272059,0.1981895923516303,0.0,0.1174318095347208,0.0893406626707097,0.0,0.0,0.104104413870357,0.0,0.0,0.0,0.0,0.1237397174169121,0.0,0.0,0.0,0.106039374446725,0.0,0.0,0.0795320234859713,0.0795320234859713,0.0795320234859713,0.0,0.0,0.2335242378394001,0.3258378673791255,0.0,0.0,0.0,0.0,0.2346434273401317,0.0
7,4224,27,9.1,19,0.2059454174928931,0.2059454174928931,0.0,0.0,0.0,0.0,0.2059454174928931,0.1566807166278995,0.0,0.0,0.0,0.0,0.3984113672336376,0.0,0.0,0.0,0.0,0.0,0.0,0.1859659944579081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619328063859566
8,2749,13,6.662635796972395,38,0.0,0.0,0.0,0.1241957939577791,0.0,0.0,0.0,0.1095296501884874,0.0,0.0,0.1276296782835038,0.0,0.0,0.0,0.0,0.0,0.0,0.2072493509582779,0.0,0.1300018965850318,0.0,0.181722473614569,0.0975044783729474,0.0975044783729474,0.0975044783729474,0.1524909004496313,0.0,0.0,0.0,0.0,0.2072493509582779,0.2072493509582779,0.1836344603574574,0.0,0.0
9,700,28,7.0,38,0.0,0.0,0.0,0.0900743948955496,0.17622107274175,0.0,0.0,0.0794376093541714,0.0,0.0,0.092564858082138,0.0,0.0,0.0,0.0,0.0,0.0,0.1503099202087994,0.0,0.0942853360569631,0.0,0.0,0.0707162183933148,0.0707162183933148,0.0707162183933148,0.0,0.0,0.207639014818934,0.0,0.0,0.1503099202087994,0.1503099202087994,0.0,0.2086341466625391,0.082100435153497
10,900,28,7.2,14,0.2038155399198104,0.2038155399198104,0.0,0.1758230856906622,0.0,0.0,0.2038155399198104,0.155060332214676,0.0,0.0,0.1806844108516331,0.0,0.0,0.0,0.0,0.2147635927162984,0.0,0.0,0.0,0.1840427431140631,0.0,0.0,0.1380363835994161,0.1380363835994161,0.1380363835994161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1602581051138115
11,2089,21,8.0,68,0.0,0.0,0.0,0.1535433193283102,0.0,0.0,0.0,0.1354115587885869,0.0,0.0,0.1577886321586341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607214067766843,0.0,0.2246635808360602,0.12054483313539,0.12054483313539,0.12054483313539,0.1885245729848063,0.0,0.0,0.0,0.0,0.0,0.0,0.2270273709585712,0.0,0.1399506857235568
12,1020,28,7.5,14,0.0,0.0,0.2398772345899738,0.1060103746896767,0.2073981398513141,0.0,0.0,0.0,0.0,0.0,0.0,0.2269910674731546,0.0,0.0,0.0,0.0,0.0,0.1769027810776614,0.0,0.1109663163958106,0.0,0.155113687054204,0.0832273457646364,0.0832273457646364,0.0832273457646364,0.1301623587907266,0.0,0.0,0.0,0.0,0.1769027810776614,0.1769027810776614,0.0,0.0,0.0966256604099346
13,3150,28,6.7,30,0.0,0.0,0.0,0.1203216831860064,0.0,0.0,0.0,0.1061130288674146,0.0,0.0,0.1236484523846291,0.0,0.0,0.2800462276899484,0.0,0.0,0.0,0.2007845028551019,0.0,0.1259466727174492,0.0,0.0,0.0944629651467496,0.0944629651467496,0.0944629651467496,0.0,0.0,0.0,0.0,0.0,0.2007845028551019,0.2007845028551019,0.1779062451074196,0.0,0.1096700406306077
14,2888,28,7.8,26,0.0,0.0,0.0,0.1404728819774987,0.0,0.0,0.0,0.1238845949098294,0.0,0.0,0.144356810830805,0.0,0.0,0.0,0.0,0.0,0.3285536373680302,0.0,0.0,0.1470399318196582,0.0,0.0,0.1102834053093365,0.1102834053093365,0.1102834053093365,0.1724763422244852,0.0,0.0,0.0,0.0,0.0,0.0,0.2077015739000317,0.0,0.1280373268229225
